OK;0;Centrale de La Serve;Libellé;Ad API;CE;Astreinte;Histo.;N° page;N° page;N° page;écri.;Automate;Val.API mini;Val. API maxi;Val. fin mini;Val. fin maxi;Unités;Nb  0.00;Lib.inactif;Lib.actif;#
X;217;;Détecteur pales fermées;%M2009;297;;;3;;;;1;0;1;0;1;;;Inactif;Actif;#
X;218;;Détecteur pales ouvertes;%M2010;298;;;3;;;;1;0;1;0;1;;;Inactif;Actif;#
X;219;;Détecteur pales fermées g2;%M2009;;;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;220;;Détecteur pales ouvertes g2;%M2010;;;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;227;;Arrêt d'urgence;%M2017;305;def1017|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;228;;Démarrage trop long;%M2018;306;def1018|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;229;;Arrêt trop long;%M2019;307;def1019|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;230;;Défaut survitesse;%M2020;308;def1020|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;231;;Défaut survitesse mécanique;%M2021;309;def1021|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;232;;Survitesse prolongée;%M2022;310;def1022|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;233;;Maxi Intensité Disjoncteur;%M2023;311;def1023|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;234;;Défaut chien de garde relais de protection alternateur (SEPAM);%M2024;312;def1024|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;235;;Surintensité alternateur (SEPAM);%M2025;313;def1025|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;236;;Couplages intempestifs alternateur;%M2026;314;def1026|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;237;;Couplage sauté ;%M2027;315;def1027|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;238;;Non découplage contacteur alternateur;%M2028;316;def1028|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;239;;Mini de puissance alternateur;%M2029;317;def1029|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;240;;Disjoncteur alternateur ouvert;%M2030;318;def1030|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;241;;Défaut positionnement pales;%M2031;319;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;242;;Défaut positionnement pales;%M2032;320;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;243;;Défaut électrique moteur ppe ghy pales;%M2033;321;def1033|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;244;;Niveau bas huile ghy;%M2034;322;def1034|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;245;;Surchauffe huile ghy;%M2035;323;def1035|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;246;;Mini pression sécurité ghy;%M2036;324;def1036|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;247;;Pression établie accumulateur ghy;%M2037;325;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;248;;Gonflage trop long accumulateur ghy;%M2038;326;def1038|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;250;;Défaut acquisition pression accumulateur GHY;%M2040;328;def1040|groupe2;;;;;;1;0;1;0;1;;;Ouverte;Fermée;#
X;254;;Alarme circulation huile pivoterie;%M2044;332;def1044|groupe2;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;255;;Défaut sens de rotation turbine;%M2045;333;def1045|groupe2;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;256;;Niveau bas huile pivoterie;%M2046;334;def1046|groupe2;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;257;;Frein desseré;%M2047;335;;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;258;;Défaut frein;%M2048;336;def1048|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;259;;Défaut mesure de vitesse;%M2049;337;def1049|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;260;;Défaut acquisition mesure de puissance;%M2050;338;def1050|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;261;;Défaut recopie position pales;%M2051;339;def1052|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;263;;Défaut com entrées sorties déportées Ilots coffret groupe;%M2053;341;def1053|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;264;;Défaut module entrées sorties déportées Ilots coffret groupe;%M2054;342;def1054|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;265;;Disjoncteur pont d'excitation ouvert;%M2055;343;def1055|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;266;;Mini courant d'excitation;%M2056;344;def1056|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;267;;Maxi courant d'excitation;%M2057;345;def1057|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;268;;Retour de marche contacteur d'excitation;%M2058;346;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;269;;Retour tension trop long;%M2059;347;def1059|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;270;;Fusion fusible pont d'excitation;%M2060;348;def1060|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;271;;Surchauffe pont d'excitation;%M2061;349;def1061|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;272;;Maxi tension stator (SEPAM);%M2062;350;def1062|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
